Sirpca,Turkce
Platno,Ödeme ile ilgili
Platnom,Ödeme ile ilgili / Ödeme sistemleri
Plato,Plato / Yayla / Açık alan
Platou,Platoda / Açık alanda (lokativ)
Plav,Mavi (renk) (erkek)
Plava,Mavi (renk) (kadın) / mavi (nötr) (çoğul)
Plave,Mavi (renk) (kadın) (çoğul)
Plavetnilo,Mavilik / Mavi genişli (nötr)
Plavi,Mavi (renk) (erkek) (çoğul)
Plavih,Mavilerin / Mavilere (çoğul)
Plavih očiju,Mavi gözlü
Plavo,Mavi (renk) (nötr)
Plaž,Sahil / Plaj
Plaže,Sahiller
Plaži,Plaja (dativ) / Plajda (lokativ) (kadın) 
Plažu,Plaja (akuzativ)
Plećka,Kürek kemiği
Plejer,Oynatıcı / Çalıcı (mutimedya dosyaları)
Plenum,Genel kurul
Plenumu,Genel kurulda (lokativ)
Ples,Dans
Plesa,Dans (genitiv)
Plesanje,Dans etmek
Plesati,Dans etmek (fiil)
Plešemo,Dans ediyoruz (biz)
Pletınom,Tavuklu (nötr)
Pletin,Burgu / Örgü
Plinska / Plinski,Gaz
Plinski,Gaz
Plišana,Peluş
Plišani,Doldurulmuş hayvanlar
Plitki,Sığ
Plivaju,Yüzüyorlar (onlar)
Plivamo,Yüzüyoruz (biz)
Plivanje,Yüzme
Plivati,Yüzmek (fiil)
Ploča,Plaka / Levha
Plodove,Meyveler
Plodovima,Mahsüllerle / Ürünlerle (instrumental)
Plovidba,Denizcilik
Plovidbe,Denizcilik (genitiv)
Plovidbi,Denizcilik (dativ)
Pluća,Akciğerler
Pluće,Akciğer
Plućima,Akciğerler
Po (I),Göre / Neye göre / Neyle ilgili / Olarak (edat)
Po (II),Yarım / Buçuk
Po (III),Sonrasında / Ardından / Boyunca / Üzerine (edat)
Po cijeni,O fiyata göre
Po dolasku,Geldikten sonra
Po metru kvadratnom,Metrekare başına
Po osobi,Kişi başı
Pobjeda / Pobjedu,Zafer
Pobjednica,Kazanan / Birinci olan (kadın)
Pobjednicu,Kazanan (kadın) (akuzativ)
Pobjedničke / Pobjednička,Muzaffer
Pobjednik,Kazanan / Birinci olan
Poboljšanje,İyileştirme / Geliştirme
Poboljšati,İyileştirmek (fiil)
Pocrnim,Bronzlaşmak
Pocrnjeti,Bronzlaşmak (fiil)
Počast,Saygı / Hürmet
Počela,Başladı (o) (geçmiş) (kadın)
Počelo,Başladı (geçmiş) (nötr)
Počeo,Başladı
Početak,Başlangıç
Početi,Başlamak (fiil)
Početkom,Başlangıçta
Početku,Başlangıç (lokativ)
Početnik,Başlangıç seviyesi
Početnike,Başlangıç seviyesindekiler
Početnim,Başlangıç / Baş harf (instrumental)
Početno stanje,Başlangıç ​​hali
Počinje,Başlıyor (o)
Počinjem,Başlıyorum (ben)
Počinju,Başlıyorlar (onlar)
Počivajte,Dinlenin / İstirahat edin (siz)
Počivati,Dinlenmek / istirahat etmek (fiil)
Poći,Gitmek / Yola çıkmak (fiil)
Poćinju,Onlar başlar
Poćni,Başla (sen)
Poćni sa seckanjem,Doğramaya başla
Pod,Zemin / Taban / Altında
Pod nazivom,Adında
Podaci,Veriler / Bilgiler
Podario,Verdi
Podatak,Veri / Bilgi
Podataka,Verilerin / Bilgilerin (genitiv)
Podatke,Veriler / Bilgiler
Podesivi / Podesive / Podesivog,Ayarlanabilir
Podgorica,Podgorica
Podgorice,Pdogrorica'nın (genitiv)
Podgorici,Podgorica'da (Lokativ)
Podgoricu,Podgorica'yı (akuzativ) / Podgorica'ya
Podgoričana,Podgorica 'lılar
Podgoričani,Podgorica'da yaşayanlar / Podgorica'lılar
Podgoričani pjevali sa,Podgorica halkı birlikte şarkı söyledi
Podgoričanin,Podgoricalı (erkek)
Podgoričanka,Podgoricalı (Kadın)
Podgoričanke,Podgorica'lı kızlar
Podgorička,Podgorica ile ilgili (kadın) (sıfat)
Podgoričke,Podgorica usulü / Podgorica'ya ait
Podgoričke popeke,Podgorica usulü köfte
Podgorički,Podgorica ile ilgili / Podgorica'ya ait (erkek)
Podgoričko,Podgorica 'ya iat (nötr)
Podgoričkog,Podgorica'ya ait
Podgoričkom,Podgorica'ya ait / Podgorica ile ilgili (erkek) (nötr) (instrumental)
Podgoričku,Podgorica'ya ait (dişi)
Podići,Kaldırmak
Podigni,Kaldır (sen) (emir kipi)
Podignite,Kaldırın / Sıyırın (o) (emir) (kıyafet)
Podignite majicu,Tişörtünü kaldır
Podijeli,Paylaşmak
Podijelila,Paylaşıldı
Podijeliš,Sen paylaş
Podijelite / Podijeliš,Paylaş
Podijeljena,Bölünmüş
Podizati,Yükseltmek (fiil)
Podižemo,Yükseltiyoruz
Podjela,Bölünme / Ayrım
Podjele,Bölünmeler / Ayrılıklar
Podmetač,Bardak altlığı
Podmetač za kadu,Banyo paspası
Podmorski,Denizaltı
Podmorski kabl,Denizaltı kablosu
Podna,Öğle / Öğlen vakti (genitiv)
Podne,Öğle / Öğle vakti
Podne obloge,Zemin kaplamaları
Podnijeti,Sunmak (fiil)
Podnijetim,Sunulan / Verilmiş (geçmiş)
Podnim,Teslim ediyorum
Podnošenja,Başvurunun / Sunmanın (genitiv)
Podnošenje,Başvuru / Sunma / Teslim etme
Podove,Zeminler / Yerler
Podpunosti,Bütünlük
Podršci,Desteğe (lokativ)
Podrška,Destek / Yardım (kadın) (akuzativ)
Podrške,Desteğin / Desteğe (genitiv)
Podršku,Desteğe / Destek için (akuzativ) (kadın)
Područje,Bölge / Alan
Području,Bölgeye / Bölgede (lokativ)
Područna,Bölgesel
Područna jedinica,Bölgesel birim
Područnoj,Bölgesel / İl / Taşra (kadın) (dativ)
Podrum,Bodrum (erkek)
Podruma,Bodrumun (genitiv)
Podrumu,Bodrumuna / Mahzenine
Podruženu,Birleşmiş
Podržana / Podržali / Podržao,Desteklenen
Podržati,Desteklemek (fiil)
Podržava,Destekliyor (o)
Podržavati,Desteklemek (fiil)
Podržimo,Destekleyelim (biz)
Podseća,Andırıyor / Hatırlatıyor (o)
Podsećati,Andırmak / Hatırlatmak (fiil)
Podsjećajuci,Hatırlatan
Podsjećati,Hatırlatmak (fiil)
Podsjestimo,Hatırlayalım
Podsjetili,Hatırlattı
Podsjetio,Hatırlattı
Podsjetiti se,Hatırlamak (fiil)
Podstanar,Kiracı
Podstanara,Kiracılar (genitiv)
Podstanare,Kiracılar
Podstanarima,Kiracılara (dativ)
Podsticajnom,Teşvik edici / Destekleyici
Podstrek,Teşvik / Motivasyon
Podučavanju,Öğretim
Podučavati,Öğretmek / Eğitim vermek (fiil)
Podvodnog,Su altı
Podvucite,Altını çizin (siz) (emir)
Podvučene,Altı çizili
Podvući,Altını çizmek / Vurgulamak (fiil)
Podzemne,Yer altı (çoğul)
Podzemni,Yer altı / Yerin altında olan
Pođi,Git (sen) (emir)
Poginuli,Öldüler (geçmiş)
Poginuti,Ölmek / Hayatını kaybetmek (fiil)
Poglavlj,Çatlak
Poglavlja,Fasıllar / Başlıklar (genitiv)
Poglavlje,Fasıl / Başlık
Poglavljima / Podjele,Bölümler
Pogled,Görünüm / Manzara
Pogled na more,Deniz manzarası
Pogledaj,Şuna baksana
Pogledaj ovdje koji je model,Bak bakalım hangi model
Pogledaj ponudu,Teklife bak
Pogledajte,Bakın / Göz atın (emir)
Pogledali,Baktım
Pogledam,Bakayım (ben)
Pogledamo,Bakalım (biz)
Pogledati,Bakmak / Göz atmak (fiil)
Pogledu,Görüş
Pogodan,Uygun / Elverişli (erkek)
Pogodio,Tahmin edildi
Pogodno,Uygun / Elverişli (nötr)
Pogodnost,Avantaj / Ayrıcalık / Kolaylık
Pogodnosti,Kolaylıklar / Avantajlar / Ayrıcalıklar
Pogrešna,Yanlış
Pogrešna jednokratna lozinka,Tek kullanımlık şifrenin yanlış olması
Pohod,Yürüyüş / Keşif gezisi / Doğa yürüyüşü (erkek)
Pohovane,Pane edilmiş / Kaplanıp kızartılmış
Pojačan,Artmış
Pojačane opasnosti,Tehlikenin artması
Pojačanje,Güçlendirme
Pojačati,Güçlendirmek
Pojasnili,Açıkladık (biz) (geçmiş)
Pojasniti,Açıklamak (fiil)
Pojava / izgled,Dış görünüş
Pojavili / Pojavilo,Göründü
Pojaviti se,Belirmek / Görünmek (fiil)
Pojavljivati se,Görünmek / Ortaya çıkmak (fiil)
Pojavljuje,Görülüyor / Ortaya çıkıyor (o)
Pojedin ,Belirli / Bireysel / Tek tek
Pojedinca / Individualni / Pojedinačnoj,Bireysel
Pojedinim,Belirli olanlara / Bazılarına (dativ)
Pojmovima,Kavramlarla (instrumental)
Pokazala,Gösterdi
Pokazali smo,Gösterdik (geçmiş)
Pokazatelj,Gösterge
Pokazati,Göstermek (fiil)
Pokazivati,Göstermek (fiil)
Pokazne,Açıklayıcı
Pokazne zamjenice,Işaret zamirleri
Pokazuje,Gösteriler
Pokažati,Göstermek (fiil)
Pokaže,Göstermeli / Sergilemeli (o)
Pokažem,Gösteririm
Pokaži nam ljepote,Bize güzellikleri göster
Pokažu,Göstersinler
Poklanjaju,Hediye ediyorlar (onlar)
Poklanjamo,Hediye ediyoruz
Poklanjati,Hediye etmek (fiil)
Poklon,Hediye / Armağan
Poklon vaučer,Hediye çeki
Poklona,Hediyenin / Hediyelerin
Pokloni,Hediye et (sen)
Poklonio,Hediye ettim (geçmiş) (erkek)
Pokloniti,Hediye etmek / Armağan etmek (fiil)
Poklopcem,Kapak
Pokrećemo,Başlatıyoruz
Pokrenuli,Başlattılar / Harekete geçirdiler (çoğul) (onlar) (geçmiş)
Pokrenut,Başlatıldı
Pokrenute,Başlatıldı
Pokrenuti,Başlatmak / Harekete geçirmek (fiil)
Pokret,Hareket
Pokret Evropa sad,Avrupa Şimdi Hareketi (siyasi parti)
Pokret za Podgoricu,Podgorica Hareketi (siyasi parti)
Pokreta,Hareketin / Hareketten (genitiv)
Pokretanje,Başlama / Başlatma
Pokretna imovina,Taşınır mal
Pokretom,Hareketle (instrumental)
Pokretu,Harekete (dativ) (lokativ)
Pokretura,Mekanik hareket başlatılması
Pokrila,Karşıladı / Kapattı (geçmiş)
Pokrivač,Battaniye (resmi kullanım / ürün tanıtımı) / Yatak örtüsü
Pokrivaju,Kapsıyorlar
Pokrivanja,Kapsama
Pokrivati,Karşılamak / Kapatmak (fiil)
Pokrivenost,Kapsam alanı / Kapsam
Pokuca,Kapıyı çalar (o)
Pokucao,Kapıyı çaldı
Pokucati,Kapıyı çalmak (fiil)
Pokupite,Toplayın / Alın (siz)
Pokupiti,Toplamk / Kaldırmak (fiil) (Bitmiş eylem)
Pokuša,Deniyor / Teşebbüs ediyor (o)
Pokušaj,Girişim / Teşebbüs
Pokušaje,Girişimleri / Denmeleri / Teşebbüsleri (akuzativ)
Pokušaji,Girişimler / Teşebbüsler / Denemeler
Pokušajte,Deneyin / Çalışın (emir) (siz)
Pokušaju,Teşebbüste / Girişimde (lokativ)
Pokušao,Denedi / Çalıştı (geçmiş)
Pokušati,Denemek / teşebbüs etmek / Çalışmak (fiil) çaba anlamında
Pokušava,Çalışıyor / Deniyor
Pokvaren,Bozuk / Arızalı
Pokvariti,Bozmak (fiil)
Pol,Biyolojik Cinsiyet
Pola,Yarım
Pola po,Yarı yarıya
Pola sat,Yarım saat
Pola vijeka,Yarım yüzyıl
Polaganje,Döşeme
Polako,Yavaş
Polasci,Gidiş
Polazak,Kalkış / Hareket
Polazi,Kalkıyor / Hareket ediyor (o)
Polaziti,Yola çıkmak / Hareket etmek / Başlamak (fiil)
Polaziti se,Hareket ediliyor / Yola çıklıyor
Polen,Polen
Polica,Raf / Sıra (kadın)
Polica za knjige,Kitaplık
Policajaca,Polis memurları (genitiv)
Police,Raflar
Polici,Rafa / Rafta
Policija,Polis
Policije,Polisin (genitiv)
Policiji,Poliste (lokativ)
Policijskih,Polisle ilgili (genitiv)
Policijskih službenika,Polis Memurları (genitiv)
Policijsko-tužilačke,Polis-savcılık
Policijskog,Polise ait (genitiv)
Policist,Polis Memuru
Poliester,Polyester
Polisu,Politika / Poliçe
Političari,Politikacılar (erkek) (karma)
Političarka,Politikacı (kadın)
Političarke,Politikacılar (kadın)
Politička,Siyasi (kadın)
Političke,Siyasi (kadın) (çoğul)
Politički,Siyasi / Politik
Političkih,Siyaset ile ilgili / Politik (genitiv)
Političkim,Siyasi (dativ) (lokativ) (instrumental)
Političkog,Siyasi (erkek) (genitiv) (sıfat)
Političkog progona,Siyasi baskı
Političkoj,Siyasi (dativ) (lokativ) (kadın)
Političkom,Siyasi (dativ) (lokativ) (instrumental) (erkek)
Političku,Siyasi
Politika,Siyaset / Politika (kadın)
Politikama,Politikalarıyla (instrumental)
Politike,Politikanın / Siyaseti (kadın) (genitiv)
Politikom,Siyasetle / Politikayla (instrumental)
Polovina,Yarısı
Polovine,Yarısı / Ortası
Polovna,Ikinci el
Položaj / Lokacija / Lokaciju,Konum
Položili,Yerleştirdiler / Koydular (geçmiş)
Položio,Ortaya konmuş
Položiti,Geçmek / Tamamlamak (sınav) / ytırmak / koymak (para) / Yemin etmek (fiil)
Polufinale,Yarı finaller
Polumaraton,Yarı maraton
Poluostrvu,Yarımada
Polupansion,Yarım pansiyon
Polja,Ova / Tarla
Polje,Tarla / Ova 
Poljska,Polonya
Poljske,Polonya'nın
Poljski,Polonyaca / Polonya'ya ait
Poljskoj,Polonya'ya / Polonya'yı (lokativ) (akuzativ)
Polju,Tarlaya / Tarlada (dativ) (lokativ)
Pomagati,Yardım etmek (fiil) (tekrarlayan)
Pomalo,Biraz / Bir miktar
Pomama,Çılgınlık
Pomaže,İyi geliyor / Yardımcı oluyor (o) 
Pomenut,Belirtilmiş / Bahsedilmiş
Pomenute,Bahsedilen / Anılan (kadın) (çoğul)
Pomenutih,Bahsedilen / Sözü edilen (genitive)
Pomeraju,Zorluyorlar
Pomerati,Hareket ettirmek / Yerini değiştirmek (fiil)
Pomešan,Karışık / Karma (erkek)
Pomešana,Karışık / Karma (dişi)
Pomešano,Karışık / Karma (nötr)
Pomfrit,Cips / Patates kızartması
Pomirenje,Uzlaşma / Barışma
Pomirenju,Uzlaşma hakkında
Pomjeramo,Hareket ediyoruz
Pomjeranjem,Hareketli
Pomjerite,Oynat
Pomočnika / Asistent,Asistan
Pomoć,Yardım (kadın)
Pomoći,Yardım Etmek (fiil)
Pomoćni,Ek
Pomoćni kuvar,Aşçı yardımcısı
Pomoćni kuvarica,Aşçı yardımcısı (bayan)
Pomogli,Yardım etti
Pomogne,Yardımcı olur
Pomognem,Yardım edeyim
Pomognuti,Yardım etmek (fiil)
Pomorandza,Turuncu
Pomorandža,Portakal (meyve)
Pomorandže,Portakallar (akuzativ) (kadın) (çoğul)
Ponajmanje,En azından bile değil
Ponašaju,Davranıyorlar (onlar)
Ponašati se,Davranmak (fiil)
Ponedeljka,Pazartesi günü / Pazartesinin (erkek) (genitiv)
Ponedeljkom,Her Pazartesi
Poneđeljak,Pazartesi (gün)
Ponekad,Bazen
Poništavanje,İptal / Fesih
Poništeno,İptal edildi / Geçersiz Kılındı (geçmiş) (nötr)
Poništiti,İptal etmek / Geçersiz kılmak (fiil)
Ponoć,Gece yarısı (24)
Ponoći,Gece yarısında
Ponos,Gurur
Ponosan,Gururlu (erkek)
Ponosna,Gurulu (kadın)
Ponosni,Gururlular (erkek)
Ponosni smo,Gurur duyuyoruz
Ponosno,Gururla
Ponosom,Gururla
Ponovi,Tekrarla (emir) (sen)
Ponovilo se,Tekrar etti
Ponovimo,Tekrar edelim (biz)
Ponovite,Tekrar edin (emir)
Ponoviti,Tekrarlamak / Tekrar etmek (fiil)
Ponoviti se,Tekrar etmek (fiil)
Ponovno,Yeniden
Ponovo,Tekrar / Yeniden (zarf)
Ponuda,Teklif / Öneri / Fırsat / Kampanya (nominativ)
Ponudama,Tekliflerle / Önerilerle
Ponude,Teklifler / Öneriler
Ponudi,Teklife / Teklife yönelik
Ponuditi,Teklifetmek / Önermek / Sunmak (fiil)
Ponudu,Teklifi / öneriyi (akuzativ)
Ponuđen,Verilen /  Sunulan
Ponuđene,Sunulan / Teklif edilen (kadın) (tekil) (çoğul) (akuzativ)
Ponuđeni,Sunulan / Teklif edilen (erkek) (tekil) (çoğul) (nominativ)
Ponuđenih,Sunulan / Teklif edilen (genitivi) (çoğul)
Ponuđenim,Verilen / Sunulan (instrumental)
Popani,Uykulu (erkek) (çoğul)
Popeke,Köfte / Kızartılmış et parçaları
Popisu,Nüfus sayımı
Popiti,İçmek (fiil) (tamamlanmış)
Popjednicu / Pobjednik,Lider / Önder
Popodnevna,Öğleden sonra ya ait (kadın)
Popravci,Onarımlar
Popularnija,Daha popüler
Populizam,Popülizm
Populizmu,Popülizm (dativ) (instrumental)
Popunite,Doldurun (siz) (emir)
Popuniti,Doldurmak (fiil)
Popust,İndirim
Popusta,Indirimin / İndirimden (genitiv) / indirimi (akuzativ)
Popuste,Indirimlerle (akuzativ)
Popusti,Indirimler (nominativ) / Kaçırma
Popustima,İndirimlere (dativ) / İndirimlerle (instrumental)
Popustom,Indirimli / İndirimle
Popustom za studente,Öğrencile için indirim
Poput,Gibi / Benzeri (Genitiv)
Poput,Beğenmek
Porcelan,Porselen
Porcija,Porsiyon
Porcije,Porsiyonlar
Porciju,Porsiyon (akuzativ)
Pored,Yanında / Yanı sıra / Diğer taraftan / Rağmen (edat)
Poređenja,Karşılaştırmanın / Karşılaştırmaların (genitiv)
Poređenja radi,Karşılaştırma amacıyla
Poređenje,Karşılaştırma (nötr)
Poreklo / Porijeklom / Porijeklo,Menşei
Poreklu,Kökenine / Menşeine (dativ) (nötr)
Poreska,Vergi (kadın)
Poreska osnovica,Vergi matrahı / Vergiye tabi tutar
Poreska uprava,Vergi İdaresi
Poreski,Vergi (erkek)
Poreski broj,Vergi numarası
Poreski kredit,Vergi kredisi
Poreski obveznik,Vergi Mükellefi
Poreski propisi,Vergi Mevzuatı
Poreskog,Vergi (genitiv) (erkek)
Porez,Vergi (genitiv)
Porez,Vergi
Porez i doprinos na dohodak,Vergi ve gelir katkısı
Porez i doprinos na dohodak fizičkih lica,Gerçek kişilerin gelirine ilişkin vergi ve prim (SGK / sosyal güvenlik katkısı)
Porez na dobit ,Kurumlar vergisi
Porez na dodatu vrijednost,Katma değer vergisi
Porez na imovinu,Emlak Vergisi
Porez na lična primanja po osnovu zaposlenja,Istihdama dayalı kişisel gelir vergisi
Poreza,Vergi (çoğul)
Poreza,Vergilerin (genitiv)
Porezi,Vergiler
Porodica,Aile
Porodicama,Ailelelere (Dativ) / Ailelerde (Genitiv) / Ailelerle (instrumental)
Porodice,Ailenin (Genitiv) / Ailelerin (Genitvi) (çoğul)
Porodicom ,Aile ile ilgili / aileyle (instrumental)
Porodicu,Aileyi (Akuzativ)
Porodični,Aileye ait / aile ile ilgili (erkek) 
Porodično,Ailevi / Aile ile ilgili (nötr)
Porodičnom,Aileye ait / aile ile ilgili (dativ) (lokativ)
Porodičnu,Aile ile ilgili / aileye ait (kadın)
Porše Kajen,Porsche Cayenne
Portalima,Portallar
Portalu,Portalında (lokativ)
Portfelja,Portföyün / Görev tanımının
Portret,Portre
Portugala,Portekiz
Poručeno ,Sipariş edildi
Poručeno je,Iletildi / Vurgulandı
Poruči,Sipariş ver (sen)
Poruči / Reda,Emir
Poruči na,Sipariş ver
Poručili,Bildirdiler
Poručio,söyledi / Bildirdi (geçmiş)
Poručite,Sipariş ver
Poručiti,Sipariş vermek / Ismarlamak (fiil)
Poručiti (II),Bildirmek / Duyurmak / Söylemek / İletmek / Mesaj vermek (fiil)
Poruka,İleti / e-posta / Mesaj
Porukama,Mesajlara (dativ)
Poruke,Mesajlar
Poruku,Mesajı (akuzativ)
Posao,İş / Meslek (erkek)
Poseban,Özel / Benzersiz (erkek) (nominativ)
Posebne,Özel (kadın) (çoğul) (nominativ) (akuzativ)
Posebnim,Özel (instrumental)
Posebno,Özel olarak / Ayrı ayrı / Özellikle
Posebnu,Özel (akuzativ) (kadın) 
Posećivati,Ziyaret etmek (fiil)
Posećujete,Ziyaret ediyorsunuz (siz)
Poseta,Ziyareti
Posjedovati,Sahip olmak (mülk / varlık)
Posjeduje,Sahibi
Posjeta,Ziyaret (kadın)
Posjete,Ziyaretler
Posjeti,Ziyaret et (emir)
Posjetilaca,Ziyaretçilerin
Posjetili,Ziyaret ettiler
Posjetioci,Ziyaretçiler (erkek)
Posjetiš,Ziyaret et (sen) (emir)
Posjetite,Ziyaret edin (siz)
Posjetiti,Ziyaret etmek (fiil)
Posjetu / Posjetilo,Ziyaret
Posla,Işin / işlerle
Poslanici,Milletvekilleri
Poslanicima,Milletvekillerine / Milletvekilleri ile
Poslaničke,Milletveliliyle ilgili (kadın) (çoğul)
Poslaničke klupe,Parlamento sıraları
Poslanički,Milletvekili ile ilgili (kadın)
Poslaničkih,Milletvekillerinin
Poslanik,Milletvekili (erkek)
Poslanika,Milletvekili
Poslasticu,Tedavi
Poslastičar,Pasta şefi
Poslati,Göndermek (fiil)
Posle,Sonrasında
Poslednji,Son
Poslednjih,Son / Nihai / Geçtiğimiz (çoğul (genitiv)
Poslije,Sonra/ -dan sonra (edat) (zarf)
Poslije podna,Öğleden sonra (İng p.m.) (genitiv)
Poslije podne,Öğleden sonra
Poslom,Işle / İşiyle / İşle ilgili
Poslova,İşleri (genitiv)
Poslova,İşlerin / Görevlerin (genitiv)
Poslovale,Iş yaptım
Poslovan,Iş / Ticaretle ilgili
Poslovanja,İşimizin / Faaliyetimizin (nötr) (genitiv)
Poslovanje,İşletme / İş yapma / Ticaret
Poslovati ,Faaliyet göstermek (fiil)
Poslove,Meslekler / İşler
Poslovi,İşler
Poslovima,İşlerde / Görevlerde / Pozisyonlarda (erkek)
Poslovne,İş ile ilgili / Ticari (çoğul) (kadın) (akuzativ)
Poslovni,Ticari / İş ile ilgili
Poslovni modeli,Iş modelleri
Poslovnica,Şube / Ofis (kadın) (genel kullanım)
Poslovnicama,Şubelerle / Ofislerle (instrumental) / Şubelere / Ofislere (dativ)
Poslovnice,Şubeler / Ofisler
Poslovnici,Şubelere / Şubelerde (dativ) (lokativ)
Poslovnicu,Şubeyi / İşyerini (akuzativ)
Poslovnim,İş ile ilgili (dativ) (instrumental)
Poslu,Işe / işte
Posluje,İş yapmak
Posluju,Faaliyet gösteren
Poslušaj,Dinle (sen)
Poslušajte,Dinleyin (siz) (emir)
Poslušam,Dinleyeyim (Dr. muayenesi) (ben)
Poslušate,Sen dinle
Poslušate dijalog,Diyaloğu dinliyorsunuz
Poslušati,Dinlemek (fiil)
Poslužiti,Servise etmek / Sunmak (fiil)
Posljedicama,Sonuçlarla (instrumental)
Posljedice,Sonuçlar / Etkiler
Posljednja,Son / Sonuncu (kadın)
Posljednja dešavanja,Son gelişmeler / Son olaylar
Posljednje,Son / Sonuncu (kadın)
Posljednjeg,Son / en son
Posljednji,Son / Sonuncu (erkek)
Posljednjih,Son / En son / En yakın geçmişteki (nötr) (çoğul)
Posljednjoj,Son (kadın) (dativ)
Posmatranje,Gözleme / İzleme
Posmatranje ptica,Kuş Gözlemi
Posmatrati,Gözlemlemek / İzlemek (fiil)
Posoliti,Tuzlamak / Tuz eklemek (fiil)
Pospan,Uykulu (erkek)
Pospana,Uykulu (kadın)
Pospane,Uykulu (kadın) (nötr)
Pospani,Uykulu (erkek) (çoğul)
Pospano,Uykulu (nötr)
Posredno,Dolaylı olarak
Posredno ili neposredno	,Dolaylı ya da doğrudan
Post,Oruç
Posta,Posta ofisi / Orucun (genitiv)
Postaje,Oluyor / Haline geliyor (o)
Postane,Olur
Postanemo,Olalım (biz)
Postanete,Olursunuz / Haline gelirsiniz (siz)
Postani,Haline gelmek
Postani dio,Bir parçası olmak
Postanite,Ayağa kalk
Postao,Oldu (geçmiş)
Postari,Yaşlandıkça
Postati,Olmak / Dönüşmek / Haline gelmek (fiil)
Postavija / Podеšavanja,Ayarlar
Postavila,Kurmak
Postavite,Soru sorun
Postavite pitanja,Soru sor
Postavlja,Soruyor / Yöneltiyor (o)
Postavljajte,Sorun (siz)
Postavljajući,Sormak / Yöneltmek
Postavljanje / Stavite,Koymak
Postavljati,Sormak (fiil)
Posteljina,Yatak takımı
Postići,Ulaşmak / Başarmak (fiil)
Postigla,Başarıldı
Postignut,Sağlanmış / Ulaşılmış
Posto,Yüzde oranı
Postojanja,Varoluş
Postojati ,Var olmak / Mevcut olmak (fiil)
Postoje,Var / Mevcut
Postoji,Var / Mevcut (o)
Postolja,Kaideler / Tabanlar
Postolje,Kaide / Taban / Destek
Postoljem,Kaideyle / Tabanla (instrumental)
Postupka,Sürecin / Prosedürün (erkek) (genitiv)
Posuda za sudoperu,Lavabo kasesi
Posuđa,Bulaşıklar
Posvećen,Adanmış / Kendini adamış (erkek)
Posvećena,Adanmış (kadın)
Posvećene,Bağlı / Amaca adanmış (kadın) (çoğul)
Posvećenih,Adanmış / İthaf edilmiş (çoğul) (genitiv)
Posvećeno,Adanmış (nötr)
Posvećenost,Bağlılık / Adanmışlık / Kararlılık (kadın)
Posvećenosti,Bağlılık / Adanmışlık
Posvetiti se,Kendini adamak / Bağlı olmak (fiil)
Pošaljemo,Gönderiyoruz
Pošalji / Poslati / Šaljite,Göndermek
Pošaljite,Gönderin (siz) (emir)
Pošao,Gitti / Yola çıktı (erkek) (geçmiş)
Pošli,Gittiler / Yola çıktılar (geçmiş)
Pošlji / Pošaljite,Gönder
Pošta,Posta / Postane
Pošte,Posta
Pošto,O zamandan beri
Poštovani,Saygın / Sayın / Değerli / Saygıdeğer
Poštovanje,Saygı / Hürmet
Poštovati,Saygı göstermek / Onurlandırmak (fiil)
Poštuju,Saygı gösteriyorlar (onlar)
Poštujući,Saygı duyarak 
Pot-,Yardımcı anlamını katar
Potencijalnoj / Potencijal,Potansiyel
Potezati,Çekmek (birini çakmek) (fiil)
Potezom,Bir hareketle
Potiče,Kaynaklanıyor / Geliyor
Potkrevet,Ranza 
Potkrovlje,Çatı katı
Potom,Daha sonra / Ardından
Potpetica,Topuk (ayakkabı)
Potpeticom,Toplukla (instrumental)
Potpis,Imza
Potpisa,İmza
Potpisati,İmzalamak (fiil)
Potpise,Imzalar (erkek) (akuzativ)
Potpisivanje,İmzalanması
Potpisuju,Imzalıyorlar
Potpišite,İmzala
Potpredsjednik,Başkan Yardımcısı (hükümet)
Potpredsjednik Vlade,Başbakan Yardımcısı
Potpredsjednika,Başkan yardımcısının (genitiv)
Potpuni / Potpun / Kompletno / Kompletnu / Kompletan / Upotpuni,Tamamlamak
Potpuno / Potpunosti / Načisto,Tamamen
Potražite,Arayın / Bakın / Talep edin (siz) (emir)
Potraživati,Aramak / Talep etmek / Alacağı olmak (fiil)
Potražuje,Alacaklıdır / Alacağı vardır
Potreba,Gereklilik / İhtiyaç
Potrebama,İhtiyaçlara (kadın) (dativ)
Potreban,Gerekli / Lazım (erkek)
Potrebe,İhtiyaçlar
Potrebna,Gerekli / Lazım (kadın)
Potrebna (II),Gerekli / Lazım (kadın) (çoğul)
Potrebna Znanja i Vještine,Gerekli bilgi ve beceriler
Potrebne,Gerekli / Lazım (kadın) (çoğul)
Potrebni,Gerekli / Lazım (çoğul) (erkek)
Potrebnih,Gerekli olanların (genitiv)
Potrebno,Gerekli / Lazım (nötr)
Potrebno je,Gereklidir
Potres / Zemljotres / Zemljotresa,Deprem
Potrošaci,Tüketiciler
Potrošač,Tüketici
Potrošači,Tüketiciler
Potvrda,Onay / Kanıt / Teyid / Belge (kadın)
Potvrdi,Onaya (dativ) / Onayda (lokativ)
Potvrditi,Doğrulamak / Teyit etmek  (fiil)
Potvrdni,Olumlu / Onaylayıcı
Potvrdni oblik,Olumlu kip
Potvrdu,Onayı / Belgeyi (akuzativ)
Potvrdu o prebivalištu,Ikamet belgesi
Potvrdu o zaposlenju,İşe giriş belgesi
